ALPHA  |BETA   | COEFFICIENT
-------|-------|------------
 11001 | 11001 |   0.9790922
 11010 | 11001 |  -0.1154894
 11001 | 11010 |  -0.1154894
 11001 | 11100 |   0.0807622
 11100 | 11001 |   0.0807622
 11001 | 01011 |  -0.1295118
 01011 | 01101 |   0.1096720
 01101 | 01011 |   0.1096720
 01110 | 11001 |  -0.1038124
 11001 | 01110 |  -0.1038124
 11010 | 11001 |   0.1032714
 11001 | 11010 |   0.1032714
 11010 | 01101 |  -0.0991589
 01101 | 11010 |  -0.0991589
 10101 | 01101 |   0.0743743
 01101 | 10101 |   0.0743743
 01110 | 01101 |   0.0614132
 01101 | 01110 |   0.0614132
